# W0 [GeV]	Sigma_muLHC@5.3 TeV [pb]	Sigma_muLHC@7.5 TeV [pb]
3.56868569e+02	4.34390160e-04	2.73141003e-04
3.57999564e+02	4.32407998e-04	2.71770389e-04
3.59134144e+02	4.30419554e-04	2.70395431e-04
3.60272319e+02	4.28438393e-04	2.69026403e-04
3.61414101e+02	4.26492422e-04	2.67684439e-04
3.62559502e+02	4.24540284e-04	2.66338222e-04
3.63708533e+02	4.22581959e-04	2.64987739e-04
3.64861205e+02	4.20617427e-04	2.63632975e-04
3.66017531e+02	4.18646670e-04	2.62286098e-04
3.67177521e+02	4.16669667e-04	2.60951264e-04
3.68341187e+02	4.14686398e-04	2.59612199e-04
3.69508542e+02	4.12696844e-04	2.58268891e-04
3.70679595e+02	4.10700984e-04	2.56921325e-04
3.71854361e+02	4.08734005e-04	2.55596916e-04
3.73032849e+02	4.06783464e-04	2.54285974e-04
3.74215072e+02	4.04826741e-04	2.52970877e-04
3.75401042e+02	4.02863818e-04	2.51651612e-04
3.76590771e+02	4.00894673e-04	2.50328166e-04
3.77784270e+02	3.98951028e-04	2.49000526e-04
3.78981551e+02	3.97009701e-04	2.47668678e-04
3.80182627e+02	3.95062221e-04	2.46332610e-04
3.81387510e+02	3.93108569e-04	2.44992307e-04
3.82596211e+02	3.91148725e-04	2.43647756e-04
3.83808742e+02	3.89223332e-04	2.42344917e-04
3.85025117e+02	3.87293082e-04	2.41039356e-04
3.86245346e+02	3.85356715e-04	2.39729657e-04
3.87469442e+02	3.83414210e-04	2.38415807e-04
3.88697418e+02	3.81472081e-04	2.37102673e-04
3.89929286e+02	3.79560548e-04	2.35812826e-04
3.91165058e+02	3.77642957e-04	2.34518891e-04
3.92404746e+02	3.75719289e-04	2.33220855e-04
3.93648363e+02	3.73789524e-04	2.31918705e-04
3.94895921e+02	3.71875350e-04	2.30623302e-04
3.96147433e+02	3.69998872e-04	2.29345712e-04
3.97402912e+02	3.68116447e-04	2.28064073e-04
3.98662369e+02	3.66228056e-04	2.26778372e-04
3.99925818e+02	3.64333680e-04	2.25488597e-04
4.01193271e+02	3.62433301e-04	2.24211762e-04
4.02464741e+02	3.60526899e-04	2.22947087e-04
4.03740240e+02	3.58614455e-04	2.21678405e-04
4.05019782e+02	3.56695950e-04	2.20405702e-04
4.06303378e+02	3.54771365e-04	2.19128965e-04
4.07591043e+02	3.52887638e-04	2.17871442e-04
4.08882789e+02	3.51018719e-04	2.16620226e-04
4.10178629e+02	3.49143877e-04	2.15365044e-04
4.11478575e+02	3.47263093e-04	2.14105884e-04
4.12782641e+02	3.45376348e-04	2.12842733e-04
4.14090840e+02	3.43523716e-04	2.11605434e-04
4.15403185e+02	3.41670980e-04	2.10368508e-04
4.16719689e+02	3.39812372e-04	2.09127661e-04
4.18040366e+02	3.37947873e-04	2.07882883e-04
4.19365228e+02	3.36080016e-04	2.06636057e-04
4.20694288e+02	3.34249968e-04	2.05417821e-04
4.22027561e+02	3.32414121e-04	2.04195725e-04
4.23365059e+02	3.30572455e-04	2.02969756e-04
4.24706796e+02	3.28724953e-04	2.01739901e-04
4.26052786e+02	3.26882586e-04	2.00514261e-04
4.27403041e+02	3.25070012e-04	1.99311037e-04
4.28757575e+02	3.23251693e-04	1.98103999e-04
4.30116402e+02	3.21427611e-04	1.96893136e-04
4.31479536e+02	3.19597749e-04	1.95678436e-04
4.32846989e+02	3.17781683e-04	1.94481241e-04
4.34218777e+02	3.15987324e-04	1.93310179e-04
4.35594912e+02	3.14187277e-04	1.92135406e-04
4.36975408e+02	3.12381526e-04	1.90956910e-04
4.38360279e+02	3.10570053e-04	1.89774680e-04
4.39749539e+02	3.08781381e-04	1.88588702e-04
4.41143202e+02	3.07006285e-04	1.87398966e-04
4.42541282e+02	3.05225563e-04	1.86205459e-04
4.43943793e+02	3.03439198e-04	1.85008169e-04
4.45350749e+02	3.01647172e-04	1.83807086e-04
4.46762163e+02	2.99886541e-04	1.82643338e-04
4.48178051e+02	2.98130896e-04	1.81487626e-04
4.49598426e+02	2.96369687e-04	1.80328252e-04
4.51023302e+02	2.94602896e-04	1.79165203e-04
4.52452694e+02	2.92830506e-04	1.77998469e-04
4.53886616e+02	2.91098661e-04	1.76861724e-04
4.55325083e+02	2.89363289e-04	1.75722808e-04
4.56768108e+02	2.87622418e-04	1.74580283e-04
4.58215707e+02	2.85876030e-04	1.73434138e-04
