# W0 [GeV]	Sigma_LHeC [pb]	Sigma_muLHC [pb]
5.51272680e+02	6.59398097e-04	2.54778959e-02
5.53260232e+02	6.44770329e-04	2.52283501e-02
5.55254950e+02	6.30389012e-04	2.49801732e-02
5.57256859e+02	6.15955845e-04	2.47311015e-02
5.59265987e+02	6.01470641e-04	2.44811318e-02
5.61282357e+02	5.87601234e-04	2.42355128e-02
5.63305998e+02	5.74262214e-04	2.39935713e-02
5.65336935e+02	5.60875102e-04	2.37507575e-02
5.67375194e+02	5.47439724e-04	2.35070682e-02
5.69420801e+02	5.34308750e-04	2.32653767e-02
5.71473784e+02	5.21961495e-04	2.30295886e-02
5.73534169e+02	5.09569723e-04	2.27929503e-02
5.75601982e+02	4.97133274e-04	2.25554589e-02
5.77677251e+02	4.84720498e-04	2.23179674e-02
5.79760001e+02	4.73313795e-04	2.20927509e-02
5.81850261e+02	4.61865968e-04	2.18667224e-02
5.83948057e+02	4.50376866e-04	2.16398790e-02
5.86053416e+02	4.38846342e-04	2.14122177e-02
5.88166366e+02	4.28148168e-04	2.11837356e-02
5.90286934e+02	4.17598091e-04	2.09544298e-02
5.92415147e+02	4.07009976e-04	2.07242972e-02
5.94551034e+02	3.96383687e-04	2.04933349e-02
5.96694621e+02	3.86304966e-04	2.02697563e-02
5.98845936e+02	3.76602623e-04	2.00511595e-02
6.01005008e+02	3.66865299e-04	1.98317745e-02
6.03171865e+02	3.57092868e-04	1.96115986e-02
6.05346533e+02	3.47613302e-04	1.93937512e-02
6.07529042e+02	3.38709848e-04	1.91809263e-02
6.09719420e+02	3.29774293e-04	1.89673341e-02
6.11917695e+02	3.20806522e-04	1.87529717e-02
6.14123896e+02	3.11905914e-04	1.85388234e-02
6.16338051e+02	3.03755986e-04	1.83316667e-02
6.18560188e+02	2.95576674e-04	1.81237631e-02
6.20790338e+02	2.87367872e-04	1.79151099e-02
6.23028528e+02	2.79129475e-04	1.77057045e-02
6.25274787e+02	2.71586642e-04	1.75030635e-02
6.27529146e+02	2.64119621e-04	1.73007598e-02
6.29791632e+02	2.56625678e-04	1.70977268e-02
6.32062275e+02	2.49104717e-04	1.68939618e-02
6.34341105e+02	2.42052105e-04	1.66948093e-02
6.36628150e+02	2.35254809e-04	1.64979686e-02
6.38923442e+02	2.28433005e-04	1.63004183e-02
6.41227009e+02	2.21586607e-04	1.61021557e-02
6.43538881e+02	2.15006710e-04	1.59064944e-02
6.45859088e+02	2.08837647e-04	1.57150764e-02
6.48187661e+02	2.02646342e-04	1.55229683e-02
6.50524629e+02	1.96432715e-04	1.53301676e-02
6.52870022e+02	1.90307650e-04	1.51380049e-02
6.55223872e+02	1.84724891e-04	1.49519306e-02
6.57586208e+02	1.79122004e-04	1.47651854e-02
6.59957062e+02	1.73498917e-04	1.45777670e-02
6.62336463e+02	1.67855556e-04	1.43896728e-02
6.64724443e+02	1.62774930e-04	1.42082574e-02
6.67121032e+02	1.57721675e-04	1.40267644e-02
6.69526262e+02	1.52650200e-04	1.38446170e-02
6.71940164e+02	1.47560441e-04	1.36618130e-02
6.74362769e+02	1.42855758e-04	1.34837210e-02
6.76794109e+02	1.38315394e-04	1.33074005e-02
6.79234214e+02	1.33758661e-04	1.31304443e-02
6.81683117e+02	1.29185499e-04	1.29528501e-02
6.84140849e+02	1.24841117e-04	1.27780663e-02
6.86607442e+02	1.20777476e-04	1.26068226e-02
6.89082928e+02	1.16699183e-04	1.24349615e-02
6.91567339e+02	1.12606187e-04	1.22624808e-02
6.94060708e+02	1.08652859e-04	1.20917509e-02
6.96563066e+02	1.05246287e-04	1.19290250e-02
6.99074446e+02	1.01827433e-04	1.17657124e-02
7.01594881e+02	9.83962530e-05	1.16018110e-02
7.04124402e+02	9.49527021e-05	1.14373187e-02
7.06663044e+02	9.14967359e-05	1.12722333e-02
7.09210839e+02	8.80283096e-05	1.11065528e-02
7.11767819e+02	8.45473783e-05	1.09402749e-02
7.14334018e+02	8.10538969e-05	1.07733975e-02
7.16909469e+02	7.81765528e-05	1.06165294e-02
7.19494206e+02	7.55078900e-05	1.04627928e-02
7.22088262e+02	7.28296057e-05	1.03085019e-02
7.24691670e+02	7.01416651e-05	1.01536547e-02
7.27304464e+02	6.74440334e-05	9.99824917e-03
7.29926679e+02	6.47366758e-05	9.84228339e-03
7.32558348e+02	6.20195570e-05	9.68575529e-03
7.35199505e+02	5.92926420e-05	9.52866285e-03
7.37850185e+02	5.67051179e-05	9.37380380e-03
7.40510421e+02	5.45170745e-05	9.22605668e-03
7.43180248e+02	5.23211422e-05	9.07777687e-03
7.45859701e+02	5.01172928e-05	8.92896245e-03
7.48548815e+02	4.79152480e-05	8.77981510e-03
7.51247624e+02	4.60139952e-05	8.63657670e-03
7.53956163e+02	4.41058877e-05	8.49282187e-03
7.56674467e+02	4.21909007e-05	8.34854875e-03
7.59402572e+02	4.02690095e-05	8.20375547e-03
7.62140513e+02	3.85687822e-05	8.06358672e-03
7.64888325e+02	3.69219877e-05	7.92425361e-03
7.67646044e+02	3.52692558e-05	7.78441815e-03
7.70413706e+02	3.36105653e-05	7.64407853e-03
7.73191346e+02	3.21488147e-05	7.50679151e-03
7.75979001e+02	3.08438120e-05	7.37185081e-03
7.78776706e+02	2.95341041e-05	7.23642359e-03
7.81584499e+02	2.82196743e-05	7.10050811e-03
7.84402414e+02	2.69005055e-05	6.96609805e-03
7.87230489e+02	2.55765805e-05	6.83546331e-03
7.90068760e+02	2.42478823e-05	6.70435759e-03
7.92917265e+02	2.29143935e-05	6.57277917e-03
7.95776039e+02	2.16031700e-05	6.44122225e-03
7.98645120e+02	2.05896809e-05	6.31473111e-03
8.01524546e+02	1.95725378e-05	6.18778393e-03
8.04414353e+02	1.85517275e-05	6.06037905e-03
8.07314579e+02	1.75272367e-05	5.93251482e-03
8.10225261e+02	1.67121114e-05	5.80918783e-03
8.13146437e+02	1.59331431e-05	5.68633335e-03
8.16078146e+02	1.51513663e-05	5.56303594e-03
8.19020424e+02	1.43667708e-05	5.43929399e-03
8.21973310e+02	1.35793466e-05	5.31865512e-03
8.24936843e+02	1.27890835e-05	5.19987278e-03
8.27911060e+02	1.19959711e-05	5.08066219e-03
8.30896001e+02	1.11999993e-05	4.96102180e-03
8.33891703e+02	1.04838827e-05	4.84304863e-03
8.36898206e+02	9.90570279e-06	4.72821479e-03
8.39915549e+02	9.32543829e-06	4.61296693e-03
8.42943770e+02	8.74308170e-06	4.49730355e-03
8.45982910e+02	8.17437605e-06	4.38195790e-03
8.49033006e+02	7.70570122e-06	4.27095826e-03
8.52094100e+02	7.23533664e-06	4.15955842e-03
8.55166229e+02	6.76327620e-06	4.04775694e-03
8.58249435e+02	6.28951381e-06	3.93555237e-03
8.61343758e+02	5.90401677e-06	3.82775312e-03
8.64449236e+02	5.52750394e-06	3.72011979e-03
8.67565911e+02	5.14963364e-06	3.61209841e-03
8.70693822e+02	4.77040097e-06	3.50368757e-03
8.73833011e+02	4.44543568e-06	3.39835804e-03
8.76983518e+02	4.14804824e-06	3.29444303e-03
8.80145384e+02	3.84958859e-06	3.19015336e-03
8.83318650e+02	3.55005289e-06	3.08548769e-03
8.86503356e+02	3.27906770e-06	2.98260081e-03
8.89699545e+02	3.04766258e-06	2.88229426e-03
8.92907257e+02	2.81542315e-06	2.78162606e-03
8.96126534e+02	2.58234641e-06	2.68059491e-03
8.99357418e+02	2.35911961e-06	2.58011742e-03
9.02599950e+02	2.18211078e-06	2.48331524e-03
9.05854173e+02	2.00446378e-06	2.38616405e-03
9.09120129e+02	1.82617628e-06	2.28866260e-03
9.12397859e+02	1.64724600e-06	2.19080961e-03
9.15687408e+02	1.51189286e-06	2.09719633e-03
9.18988816e+02	1.37846192e-06	2.00349584e-03
9.22302127e+02	1.24454991e-06	1.90945752e-03
9.25627384e+02	1.11015509e-06	1.81508016e-03
9.28964630e+02	1.00164031e-06	1.72370875e-03
9.32313908e+02	9.03454094e-07	1.63336847e-03
9.35675261e+02	8.04913883e-07	1.54270249e-03
9.39048733e+02	7.06018396e-07	1.45170961e-03
9.42434368e+02	6.20495131e-07	1.36357791e-03
9.45832210e+02	5.49912147e-07	1.27867074e-03
9.49242302e+02	4.79074683e-07	1.19345746e-03
9.52664689e+02	4.07981824e-07	1.10793694e-03
9.56099414e+02	3.41881582e-07	1.02210809e-03
9.59546524e+02	2.92461964e-07	9.35969798e-04
9.63006061e+02	2.42864168e-07	8.49520942e-04
9.66478072e+02	1.93087553e-07	7.62760403e-04
9.69962600e+02	1.43131474e-07	6.75687059e-04
