# W0 [GeV]	Sigma_muLHC@7.5 TeV [pb]	Sigma_muLHC@5.3 TeV [pb]
3.95887623e+02	1.34369596e-01	8.33850411e-02
3.97314952e+02	1.33553402e-01	8.28279308e-02
3.98747426e+02	1.32734265e-01	8.22688119e-02
4.00185066e+02	1.31912174e-01	8.17076772e-02
4.01627888e+02	1.31087120e-01	8.11576306e-02
4.03075912e+02	1.30259091e-01	8.06099405e-02
4.04529157e+02	1.29428077e-01	8.00602758e-02
4.05987642e+02	1.28594066e-01	7.95086293e-02
4.07451385e+02	1.27775482e-01	7.89638641e-02
4.08920405e+02	1.26971365e-01	7.84255170e-02
4.10394722e+02	1.26164349e-01	7.78852290e-02
4.11874354e+02	1.25354424e-01	7.73429930e-02
4.13359321e+02	1.24548087e-01	7.68035690e-02
4.14849642e+02	1.23755821e-01	7.62746332e-02
4.16345335e+02	1.22960698e-01	7.57437904e-02
4.17846422e+02	1.22162709e-01	7.52110337e-02
4.19352920e+02	1.21362779e-01	7.46770429e-02
4.20864850e+02	1.20582286e-01	7.41574787e-02
4.22382231e+02	1.19798979e-01	7.36360414e-02
4.23905083e+02	1.19012847e-01	7.31127241e-02
4.25433425e+02	1.18223882e-01	7.25875200e-02
4.26967278e+02	1.17450563e-01	7.20738837e-02
4.28506661e+02	1.16678993e-01	7.15616977e-02
4.30051593e+02	1.15904640e-01	7.10476651e-02
4.31602096e+02	1.15127496e-01	7.05317792e-02
4.33158189e+02	1.14360484e-01	7.00278685e-02
4.34719892e+02	1.13600636e-01	6.95327618e-02
4.36287226e+02	1.12838049e-01	6.90358701e-02
4.37860211e+02	1.12072712e-01	6.85371868e-02
4.39438867e+02	1.11312127e-01	6.80367056e-02
4.41023215e+02	1.10564140e-01	6.75344200e-02
4.42613274e+02	1.09813455e-01	6.70303234e-02
4.44209067e+02	1.09060065e-01	6.65244094e-02
4.45810613e+02	1.08306024e-01	6.60189536e-02
4.47417933e+02	1.07569690e-01	6.55342359e-02
4.49031048e+02	1.06830701e-01	6.50477707e-02
4.50649979e+02	1.06089048e-01	6.45595515e-02
4.52274747e+02	1.05344721e-01	6.40695721e-02
4.53905373e+02	1.04616873e-01	6.35916729e-02
4.55541878e+02	1.03889659e-01	6.31144053e-02
4.57184284e+02	1.03159823e-01	6.26354169e-02
4.58832610e+02	1.02427356e-01	6.21547016e-02
4.60486880e+02	1.01706057e-01	6.16820273e-02
4.62147114e+02	1.00990716e-01	6.12137069e-02
4.63813333e+02	1.00272796e-01	6.07436981e-02
4.65485560e+02	9.95522878e-02	6.02719947e-02
4.67163816e+02	9.88375039e-02	5.98046052e-02
4.68848123e+02	9.81337055e-02	5.93453326e-02
4.70538502e+02	9.74273697e-02	5.88844042e-02
4.72234976e+02	9.67184872e-02	5.84218139e-02
4.73937567e+02	9.60101587e-02	5.79597953e-02
4.75646295e+02	9.53178556e-02	5.75094907e-02
4.77361185e+02	9.46230564e-02	5.70575625e-02
4.79082257e+02	9.39257523e-02	5.66040049e-02
4.80809534e+02	9.32259340e-02	5.61488121e-02
4.82543039e+02	9.25431265e-02	5.57058779e-02
4.84282794e+02	9.18598748e-02	5.52627825e-02
4.86028821e+02	9.11741597e-02	5.48180896e-02
4.87781144e+02	9.04859724e-02	5.43717934e-02
4.89539784e+02	8.98094785e-02	5.39339949e-02
4.91304765e+02	8.91375578e-02	5.34996179e-02
4.93076109e+02	8.84632146e-02	5.30636748e-02
4.94853840e+02	8.77864401e-02	5.26261599e-02
4.96637980e+02	8.71163673e-02	5.21966226e-02
4.98428553e+02	8.64559050e-02	5.17781065e-02
5.00225581e+02	8.57930614e-02	5.13580815e-02
5.02029088e+02	8.51278281e-02	5.09365421e-02
5.03839098e+02	8.44642547e-02	5.05134829e-02
5.05655633e+02	8.38150528e-02	5.00888985e-02
5.07478718e+02	8.31635102e-02	4.96627832e-02
5.09308376e+02	8.25096186e-02	4.92351316e-02
5.11144630e+02	8.18533695e-02	4.88059382e-02
5.12987505e+02	8.12144605e-02	4.83964841e-02
5.14837023e+02	8.05741111e-02	4.79864862e-02
5.16693211e+02	7.99314531e-02	4.75750101e-02
5.18556090e+02	7.92864780e-02	4.71620504e-02
5.20425686e+02	7.86609816e-02	4.67629286e-02
5.22302023e+02	7.80416820e-02	4.63683088e-02
5.24185124e+02	7.74201495e-02	4.59722663e-02
5.26075015e+02	7.67963762e-02	4.55747958e-02
5.27971719e+02	7.61703539e-02	4.51758924e-02
5.29875262e+02	7.55420746e-02	4.47755507e-02
5.31785668e+02	7.49115301e-02	4.43737656e-02
5.33702962e+02	7.42787122e-02	4.39705320e-02
5.35627168e+02	7.36510995e-02	4.35710771e-02
5.37558311e+02	7.30441117e-02	4.31861786e-02
5.39496418e+02	7.24349355e-02	4.27998925e-02
5.41441512e+02	7.18235630e-02	4.24122136e-02
5.43393618e+02	7.12101771e-02	4.20232709e-02
5.45352763e+02	7.06140543e-02	4.16465803e-02
5.47318971e+02	7.00157823e-02	4.12685316e-02
5.49292269e+02	6.94153533e-02	4.08891199e-02
5.51272680e+02	6.88127595e-02	4.05083403e-02
5.53260232e+02	6.82229114e-02	4.01366656e-02
5.55254950e+02	6.76353351e-02	3.97667400e-02
5.57256859e+02	6.70456404e-02	3.93954808e-02
5.59265987e+02	6.64538196e-02	3.90228830e-02
5.61282357e+02	6.58701278e-02	3.86560769e-02
5.63305998e+02	6.52932479e-02	3.82941475e-02
5.65336935e+02	6.47142883e-02	3.79309131e-02
5.67375194e+02	6.41332412e-02	3.75663692e-02
5.69420801e+02	6.35557344e-02	3.72044460e-02
5.71473784e+02	6.29894184e-02	3.68504863e-02
5.73534169e+02	6.24210605e-02	3.64952505e-02
5.75601982e+02	6.18506534e-02	3.61387339e-02
5.77677251e+02	6.12793406e-02	3.57817250e-02
5.79760001e+02	6.07236178e-02	3.54355923e-02
5.81850261e+02	6.01658914e-02	3.50882117e-02
5.83948057e+02	5.96061542e-02	3.47395786e-02
5.86053416e+02	5.90443989e-02	3.43896886e-02
5.88166366e+02	5.84959627e-02	3.40490600e-02
5.90286934e+02	5.79488266e-02	3.37094509e-02
5.92415147e+02	5.73997179e-02	3.33686173e-02
5.94551034e+02	5.68486294e-02	3.30265550e-02
5.96694621e+02	5.63063349e-02	3.26906795e-02
5.98845936e+02	5.57696795e-02	3.23588201e-02
6.01005008e+02	5.52310892e-02	3.20257642e-02
