# W0 [GeV]	Sigma_LHeC [pb]	Sigma_muLHC [pb]	Sigma_FCCmuh [pb]
5.65775885e+01	8.11219341e-01	1.43096702e+00	2.84954302e+00
5.70969137e+01	7.90905932e-01	1.39957140e+00	2.79137366e+00
5.76210058e+01	7.71371615e-01	1.36880381e+00	2.73429607e+00
5.81499085e+01	7.51657992e-01	1.33889816e+00	2.67871115e+00
5.86836660e+01	7.31886477e-01	1.30922285e+00	2.62350659e+00
5.92223229e+01	7.13416385e-01	1.28063764e+00	2.57020763e+00
5.97659241e+01	6.95185128e-01	1.25236751e+00	2.51745230e+00
6.03145151e+01	6.77381666e-01	1.22467946e+00	2.46571794e+00
6.08681415e+01	6.60129527e-01	1.19774740e+00	2.41697986e+00
6.14268497e+01	6.43037666e-01	1.17101874e+00	2.36902500e+00
6.19906862e+01	6.26656347e-01	1.14527426e+00	2.32062996e+00
6.25596982e+01	6.10483975e-01	1.12004706e+00	2.27179070e+00
6.31339332e+01	5.94701556e-01	1.09571750e+00	2.22250315e+00
6.37134390e+01	5.79407751e-01	1.07116461e+00	2.17619572e+00
6.42982641e+01	5.64258537e-01	1.04650323e+00	2.13085997e+00
6.48884574e+01	5.49747515e-01	1.02334511e+00	2.08713845e+00
6.54840680e+01	5.35416864e-01	1.00064558e+00	2.04383693e+00
6.60851457e+01	5.21437820e-01	9.78771794e-01	2.00140344e+00
6.66917407e+01	5.07887546e-01	9.56697231e-01	1.96004264e+00
6.73039036e+01	4.94466290e-01	9.34514751e-01	1.91896933e+00
6.79216856e+01	4.81620620e-01	9.13706454e-01	1.87938718e+00
6.85451382e+01	4.68932912e-01	8.93111521e-01	1.84018306e+00
6.91743135e+01	4.56565928e-01	8.72968358e-01	1.80179396e+00
6.98092639e+01	4.44578631e-01	8.53369872e-01	1.76437167e+00
7.04500426e+01	4.32707867e-01	8.33991476e-01	1.72721202e+00
7.10967029e+01	4.21355702e-01	8.16596485e-01	1.69139240e+00
7.17492990e+01	4.10252325e-01	7.99041826e-01	1.65590146e+00
7.24078852e+01	3.99622451e-01	7.81326033e-01	1.62115650e+00
7.30725166e+01	3.88895005e-01	7.63447626e-01	1.58728661e+00
7.37432486e+01	3.78108291e-01	7.45405114e-01	1.55366006e+00
7.44201373e+01	3.68088638e-01	7.27196990e-01	1.52127107e+00
7.51032391e+01	3.58284572e-01	7.09680223e-01	1.48917499e+00
7.57926111e+01	3.48906347e-01	6.93442516e-01	1.45777417e+00
7.64883109e+01	3.39442040e-01	6.77638911e-01	1.42715505e+00
7.71903964e+01	3.29929146e-01	6.61963804e-01	1.39675644e+00
7.78989264e+01	3.21335371e-01	6.46914113e-01	1.36748131e+00
7.86139600e+01	3.12662715e-01	6.32007983e-01	1.33846247e+00
7.93355569e+01	3.03910452e-01	6.17451219e-01	1.31008337e+00
8.00637773e+01	2.95596438e-01	6.03280046e-01	1.28241866e+00
8.07986821e+01	2.87444301e-01	5.89225025e-01	1.25498023e+00
8.15403325e+01	2.79666200e-01	5.75741227e-01	1.22918374e+00
8.22887906e+01	2.71977022e-01	5.62384202e-01	1.20315047e+00
8.30441187e+01	2.64502064e-01	5.49349651e-01	1.17687823e+00
8.38063800e+01	2.57518589e-01	5.36657165e-01	1.15168352e+00
8.45756380e+01	2.50721069e-01	5.24069293e-01	1.12687439e+00
8.53519571e+01	2.43861154e-01	5.11993566e-01	1.10301539e+00
8.61354020e+01	2.36938273e-01	5.00026773e-01	1.07935280e+00
8.69260382e+01	2.29951846e-01	4.88352108e-01	1.05623281e+00
8.77239316e+01	2.23449159e-01	4.77172371e-01	1.03367709e+00
8.85291488e+01	2.17145162e-01	4.66167333e-01	1.01129012e+00
8.93417571e+01	2.11139398e-01	4.55061281e-01	9.89769376e-01
9.01618244e+01	2.05199475e-01	4.44242369e-01	9.68417435e-01
9.09894190e+01	1.99432867e-01	4.34056969e-01	9.47559496e-01
9.18246101e+01	1.93839737e-01	4.23778077e-01	9.27206097e-01
9.26674675e+01	1.88306029e-01	4.13412878e-01	9.07006435e-01
9.35180614e+01	1.83038803e-01	4.03748490e-01	8.87604856e-01
9.43764629e+01	1.77921693e-01	3.94246834e-01	8.68351486e-01
9.52427437e+01	1.73142638e-01	3.85145766e-01	8.49554415e-01
9.61169760e+01	1.68319716e-01	3.75961160e-01	8.31205080e-01
9.69992330e+01	1.63452524e-01	3.66694665e-01	8.12994104e-01
9.78895881e+01	1.58540656e-01	3.58064598e-01	7.95511288e-01
9.87881158e+01	1.53775958e-01	3.49506200e-01	7.78156723e-01
9.96948911e+01	1.49351844e-01	3.41170863e-01	7.61220024e-01
1.00609990e+02	1.45060161e-01	3.33048146e-01	7.44680017e-01
1.01533488e+02	1.40816433e-01	3.24996815e-01	7.28266906e-01
1.02465463e+02	1.36782859e-01	3.17289924e-01	7.12517067e-01
1.03405993e+02	1.32791469e-01	3.09645892e-01	6.96883566e-01
1.04355155e+02	1.28924923e-01	3.02204085e-01	6.81638529e-01
1.05313031e+02	1.25174315e-01	2.94952272e-01	6.66750290e-01
1.06279698e+02	1.21468029e-01	2.87768221e-01	6.51983714e-01
