# W0 [GeV]	Sigma_LHeC [pb]	Sigma_muLHC [pb]
3.00069698e+02	9.69398958e-03	1.32780024e-01
3.01151566e+02	9.58664295e-03	1.32068045e-01
3.02237334e+02	9.47890929e-03	1.31353500e-01
3.03327017e+02	9.37078721e-03	1.30636378e-01
3.04420629e+02	9.26237626e-03	1.29917039e-01
3.05518183e+02	9.15866835e-03	1.29213686e-01
3.06619695e+02	9.05458653e-03	1.28507797e-01
3.07725178e+02	8.95012945e-03	1.27799364e-01
3.08834646e+02	8.84529577e-03	1.27088376e-01
3.09948115e+02	8.74407130e-03	1.26389590e-01
3.11065598e+02	8.64359339e-03	1.25692400e-01
3.12187110e+02	8.54275322e-03	1.24992697e-01
3.13312666e+02	8.44154948e-03	1.24290472e-01
3.14442280e+02	8.34270688e-03	1.23596039e-01
3.15575966e+02	8.24578593e-03	1.22907730e-01
3.16713740e+02	8.14851555e-03	1.22216940e-01
3.17855616e+02	8.05089447e-03	1.21523659e-01
3.19001609e+02	7.95442276e-03	1.20836543e-01
3.20151733e+02	7.86097962e-03	1.20166436e-01
3.21306004e+02	7.76719959e-03	1.19493912e-01
3.22464437e+02	7.67308144e-03	1.18818964e-01
3.23627046e+02	7.57896191e-03	1.18141582e-01
3.24793848e+02	7.48892939e-03	1.17461758e-01
3.25964855e+02	7.39857227e-03	1.16779483e-01
3.27140085e+02	7.30788937e-03	1.16094748e-01
3.28319552e+02	7.21687953e-03	1.15407544e-01
3.29503271e+02	7.12944846e-03	1.14741656e-01
3.30691258e+02	7.04248142e-03	1.14078113e-01
3.31883529e+02	6.95520083e-03	1.13412177e-01
3.33080098e+02	6.86760556e-03	1.12743840e-01
3.34280981e+02	6.78242467e-03	1.12089760e-01
3.35486193e+02	6.69878406e-03	1.11444599e-01
3.36695751e+02	6.61484189e-03	1.10797111e-01
3.37909670e+02	6.53059708e-03	1.10147290e-01
3.39127965e+02	6.44764470e-03	1.09495125e-01
3.40350653e+02	6.36723930e-03	1.08840609e-01
3.41577749e+02	6.28654401e-03	1.08183733e-01
3.42809270e+02	6.20555778e-03	1.07524490e-01
3.44045230e+02	6.12481224e-03	1.06866326e-01
3.45285647e+02	6.04759284e-03	1.06230564e-01
3.46530535e+02	5.97009504e-03	1.05592509e-01
3.47779912e+02	5.89231783e-03	1.04952155e-01
3.49033794e+02	5.81426020e-03	1.04309491e-01
3.50292196e+02	5.73967059e-03	1.03689166e-01
3.51555135e+02	5.66529757e-03	1.03069796e-01
3.52822628e+02	5.59065640e-03	1.02448194e-01
3.54094690e+02	5.51574611e-03	1.01824350e-01
3.55371339e+02	5.44448095e-03	1.01198257e-01
3.56652591e+02	5.37508546e-03	1.00569907e-01
3.57938462e+02	5.30543977e-03	9.99392916e-02
3.59228969e+02	5.23554298e-03	9.93064023e-02
3.60524128e+02	5.16539419e-03	9.86827036e-02
3.61823958e+02	5.09499248e-03	9.80732028e-02
3.63128473e+02	5.02433694e-03	9.74615046e-02
3.64437692e+02	4.95342667e-03	9.68476009e-02
3.65751632e+02	4.88330291e-03	9.62346161e-02
3.67070308e+02	4.81787299e-03	9.56342887e-02
3.68393739e+02	4.75220717e-03	9.50317969e-02
3.69721941e+02	4.68630459e-03	9.44271328e-02
3.71054932e+02	4.62016442e-03	9.38202887e-02
3.72392729e+02	4.55733369e-03	9.32364208e-02
3.73735350e+02	4.49451489e-03	9.26521390e-02
3.75082811e+02	4.43146960e-03	9.20657506e-02
3.76435130e+02	4.36819701e-03	9.14772481e-02
3.77792324e+02	4.30725230e-03	9.08866239e-02
3.79154412e+02	4.24718497e-03	9.02938701e-02
3.80521411e+02	4.18690107e-03	8.96989793e-02
3.81893338e+02	4.12639983e-03	8.91019437e-02
3.83270212e+02	4.06732181e-03	8.85153645e-02
3.84652050e+02	4.00993788e-03	8.79413209e-02
3.86038870e+02	3.95234706e-03	8.73652077e-02
3.87430689e+02	3.89454861e-03	8.67870174e-02
3.88827527e+02	3.83768230e-03	8.62107594e-02
3.90229401e+02	3.78452725e-03	8.56462170e-02
3.91636330e+02	3.73118055e-03	8.50796392e-02
3.93048331e+02	3.67764151e-03	8.45110186e-02
3.94465422e+02	3.62390944e-03	8.39403480e-02
3.95887623e+02	3.56998366e-03	8.33850411e-02
3.97314952e+02	3.51586344e-03	8.28279308e-02
3.98747426e+02	3.46154811e-03	8.22688119e-02
4.00185066e+02	3.40703694e-03	8.17076772e-02
4.01627888e+02	3.35826069e-03	8.11576306e-02
4.03075912e+02	3.31127185e-03	8.06099405e-02
4.04529157e+02	3.26411360e-03	8.00602758e-02
4.05987642e+02	3.21678533e-03	7.95086293e-02
4.07451385e+02	3.16928642e-03	7.89638641e-02
4.08920405e+02	3.12161625e-03	7.84255170e-02
4.10394722e+02	3.07377422e-03	7.78852290e-02
4.11874354e+02	3.02575970e-03	7.73429930e-02
4.13359321e+02	2.97757207e-03	7.68035690e-02
4.14849642e+02	2.92921070e-03	7.62746332e-02
4.16345335e+02	2.88067498e-03	7.57437904e-02
4.17846422e+02	2.83196426e-03	7.52110337e-02
4.19352920e+02	2.78332434e-03	7.46770429e-02
4.20864850e+02	2.74037752e-03	7.41574787e-02
4.22382231e+02	2.69727586e-03	7.36360414e-02
4.23905083e+02	2.65401880e-03	7.31127241e-02
4.25433425e+02	2.61060578e-03	7.25875200e-02
4.26967278e+02	2.56928029e-03	7.20738837e-02
4.28506661e+02	2.52835628e-03	7.15616977e-02
4.30051593e+02	2.48728472e-03	7.10476651e-02
4.31602096e+02	2.44606508e-03	7.05317792e-02
4.33158189e+02	2.40623062e-03	7.00278685e-02
4.34719892e+02	2.36742996e-03	6.95327618e-02
4.36287226e+02	2.32848941e-03	6.90358701e-02
4.37860211e+02	2.28940846e-03	6.85371868e-02
4.39438867e+02	2.25104310e-03	6.80367056e-02
4.41023215e+02	2.21428857e-03	6.75344200e-02
4.42613274e+02	2.17740152e-03	6.70303234e-02
4.44209067e+02	2.14038147e-03	6.65244094e-02
4.45810613e+02	2.10345676e-03	6.60189536e-02
4.47417933e+02	2.06866058e-03	6.55342359e-02
4.49031048e+02	2.03373896e-03	6.50477707e-02
4.50649979e+02	1.99869142e-03	6.45595515e-02
4.52274747e+02	1.96351753e-03	6.40695721e-02
4.53905373e+02	1.93026214e-03	6.35916729e-02
4.55541878e+02	1.89723463e-03	6.31144053e-02
4.57184284e+02	1.86408805e-03	6.26354169e-02
4.58832610e+02	1.83082197e-03	6.21547016e-02
4.60486880e+02	1.79886038e-03	6.16820273e-02
4.62147114e+02	1.76766645e-03	6.12137069e-02
4.63813333e+02	1.73636005e-03	6.07436981e-02
4.65485560e+02	1.70494078e-03	6.02719947e-02
4.67163816e+02	1.67425049e-03	5.98046052e-02
4.68848123e+02	1.64482217e-03	5.93453326e-02
4.70538502e+02	1.61528776e-03	5.88844042e-02
4.72234976e+02	1.58564686e-03	5.84218139e-02
4.73937567e+02	1.55620438e-03	5.79597953e-02
4.75646295e+02	1.52847971e-03	5.75094907e-02
4.77361185e+02	1.50065507e-03	5.70575625e-02
4.79082257e+02	1.47273013e-03	5.66040049e-02
4.80809534e+02	1.44470450e-03	5.61488121e-02
4.82543039e+02	1.41926276e-03	5.57058779e-02
4.84282794e+02	1.39400663e-03	5.52627825e-02
4.86028821e+02	1.36865944e-03	5.48180896e-02
4.87781144e+02	1.34322086e-03	5.43717934e-02
4.89539784e+02	1.31769057e-03	5.39339949e-02
4.91304765e+02	1.29206823e-03	5.34996179e-02
4.93076109e+02	1.26635351e-03	5.30636748e-02
4.94853840e+02	1.24054608e-03	5.26261599e-02
4.96637980e+02	1.21588791e-03	5.21966226e-02
4.98428553e+02	1.19277513e-03	5.17781065e-02
5.00225581e+02	1.16957902e-03	5.13580815e-02
5.02029088e+02	1.14629928e-03	5.09365421e-02
5.03839098e+02	1.12328219e-03	5.05134829e-02
