# W0 [GeV]	Sigma_LHeC [pb]	Sigma_muLHC [pb]	Sigma_FCCmuh [pb]
4.47896488e+02	1.93862605e-05	3.05238988e-04	1.25481913e-03
4.48825299e+02	1.91880290e-05	3.03559376e-04	1.24913097e-03
4.49756035e+02	1.89893864e-05	3.01876281e-04	1.24343101e-03
4.50688702e+02	1.87903319e-05	3.00189695e-04	1.23771923e-03
4.51623302e+02	1.85908647e-05	2.98499612e-04	1.23199560e-03
4.52559841e+02	1.83916243e-05	2.96806025e-04	1.22626655e-03
4.53498322e+02	1.82036372e-05	2.95108925e-04	1.22064295e-03
4.54438749e+02	1.80152603e-05	2.93408306e-04	1.21500768e-03
4.55381126e+02	1.78264927e-05	2.91704161e-04	1.20936073e-03
4.56325457e+02	1.76373337e-05	2.89996481e-04	1.20370207e-03
4.57271747e+02	1.74477824e-05	2.88285261e-04	1.19803167e-03
4.58219999e+02	1.72578380e-05	2.86570491e-04	1.19234952e-03
4.59170217e+02	1.70674998e-05	2.84852166e-04	1.18665558e-03
4.60122406e+02	1.68853071e-05	2.83201625e-04	1.18104270e-03
4.61076570e+02	1.67065591e-05	2.81579594e-04	1.17545976e-03
4.62032712e+02	1.65274403e-05	2.79954199e-04	1.16986523e-03
4.62990836e+02	1.63479501e-05	2.78325434e-04	1.16425910e-03
4.63950948e+02	1.61680877e-05	2.76693291e-04	1.15864135e-03
4.64913051e+02	1.59878523e-05	2.75057763e-04	1.15301195e-03
4.65877149e+02	1.58072431e-05	2.73418844e-04	1.14737087e-03
4.66843246e+02	1.56303058e-05	2.71795323e-04	1.14179239e-03
4.67811347e+02	1.54612249e-05	2.70206635e-04	1.13635332e-03
4.68781455e+02	1.52917934e-05	2.68614652e-04	1.13090297e-03
4.69753574e+02	1.51220106e-05	2.67019368e-04	1.12544132e-03
4.70727710e+02	1.49518756e-05	2.65420776e-04	1.11996834e-03
4.71703866e+02	1.47813879e-05	2.63818869e-04	1.11448401e-03
4.72682046e+02	1.46105466e-05	2.62213640e-04	1.10898831e-03
4.73662255e+02	1.44393510e-05	2.60605082e-04	1.10348121e-03
4.74644496e+02	1.42795443e-05	2.59050365e-04	1.09796269e-03
4.75628774e+02	1.41197826e-05	2.57494258e-04	1.09243273e-03
4.76615093e+02	1.39596896e-05	2.55934923e-04	1.08689130e-03
4.77603458e+02	1.37992647e-05	2.54372354e-04	1.08133838e-03
4.78593872e+02	1.36385070e-05	2.52806545e-04	1.07577394e-03
4.79586340e+02	1.34774160e-05	2.51237489e-04	1.07019797e-03
4.80580866e+02	1.33159909e-05	2.49665180e-04	1.06461043e-03
4.81577455e+02	1.31647889e-05	2.48126447e-04	1.05915851e-03
4.82576110e+02	1.30200880e-05	2.46608300e-04	1.05379031e-03
4.83576836e+02	1.28750870e-05	2.45087005e-04	1.04841097e-03
4.84579637e+02	1.27297853e-05	2.43562555e-04	1.04302047e-03
4.85584518e+02	1.25841823e-05	2.42034944e-04	1.03761880e-03
4.86591483e+02	1.24382773e-05	2.40504165e-04	1.03220592e-03
4.87600535e+02	1.22920698e-05	2.38970211e-04	1.02678183e-03
4.88611681e+02	1.21455591e-05	2.37448310e-04	1.02138830e-03
4.89624923e+02	1.19987445e-05	2.35969754e-04	1.01611125e-03
4.90640266e+02	1.18516255e-05	2.34488133e-04	1.01082327e-03
