# W0 [GeV]	Sigma_LHeC [pb]	Sigma_muLHC [pb]	Sigma_FCCmuh [pb]
3.91165058e+02	1.44903004e-05	1.55860509e-04	5.84863526e-04
3.92404746e+02	1.42610683e-05	1.54313388e-04	5.80002886e-04
3.93648363e+02	1.40311097e-05	1.52761363e-04	5.75126842e-04
3.94895921e+02	1.38004223e-05	1.51232111e-04	5.70311231e-04
3.96147433e+02	1.35690039e-05	1.49753838e-04	5.65633342e-04
3.97402912e+02	1.33368520e-05	1.48270880e-04	5.60940628e-04
3.98662369e+02	1.31039643e-05	1.46783223e-04	5.56233042e-04
3.99925818e+02	1.28703386e-05	1.45290850e-04	5.51510536e-04
4.01193271e+02	1.26582922e-05	1.43854590e-04	5.46886364e-04
4.02464741e+02	1.24668182e-05	1.42471688e-04	5.42355379e-04
4.03740240e+02	1.22747373e-05	1.41084404e-04	5.37810033e-04
4.05019782e+02	1.20820477e-05	1.39692724e-04	5.33250283e-04
4.06303378e+02	1.18887474e-05	1.38296633e-04	5.28676082e-04
4.07591043e+02	1.16948345e-05	1.36896117e-04	5.24236364e-04
4.08882789e+02	1.15003071e-05	1.35491163e-04	5.19848496e-04
4.10178629e+02	1.13051631e-05	1.34081756e-04	5.15446722e-04
4.11478575e+02	1.11094007e-05	1.32667882e-04	5.11030997e-04
4.12782641e+02	1.09130179e-05	1.31249528e-04	5.06601278e-04
4.14090840e+02	1.07160127e-05	1.29928240e-04	5.02339824e-04
4.15403185e+02	1.05183831e-05	1.28617374e-04	4.98091088e-04
4.16719689e+02	1.03201273e-05	1.27302353e-04	4.93828887e-04
4.18040366e+02	1.01212431e-05	1.25983165e-04	4.89553178e-04
4.19365228e+02	9.92351922e-06	1.24663801e-04	4.85275057e-04
4.20694288e+02	9.75587234e-06	1.23408924e-04	4.81174369e-04
4.22027561e+02	9.58769414e-06	1.22150070e-04	4.77060685e-04
4.23365059e+02	9.41898295e-06	1.20887226e-04	4.72933963e-04
4.24706796e+02	9.24973708e-06	1.19620380e-04	4.68794164e-04
4.26052786e+02	9.08328591e-06	1.18366054e-04	4.64687532e-04
4.27403041e+02	8.92710581e-06	1.17161356e-04	4.60717938e-04
4.28757575e+02	8.77043074e-06	1.15952840e-04	4.56735764e-04
4.30116402e+02	8.61325914e-06	1.14740494e-04	4.52740969e-04
4.31479536e+02	8.45558942e-06	1.13524305e-04	4.48733514e-04
4.32846989e+02	8.30298513e-06	1.12332244e-04	4.44792491e-04
4.34218777e+02	8.15769622e-06	1.11175619e-04	4.40949873e-04
4.35594912e+02	8.01194686e-06	1.10015327e-04	4.37095077e-04
4.36975408e+02	7.86573559e-06	1.08851359e-04	4.33228065e-04
4.38360279e+02	7.71906095e-06	1.07683702e-04	4.29348797e-04
4.39749539e+02	7.57941596e-06	1.06586347e-04	4.25567415e-04
4.41143202e+02	7.44438155e-06	1.05535409e-04	4.21848338e-04
4.42541282e+02	7.30891918e-06	1.04481141e-04	4.18117474e-04
4.43943793e+02	7.17302751e-06	1.03423531e-04	4.14374787e-04
4.45350749e+02	7.03670517e-06	1.02362570e-04	4.10620238e-04
4.46762163e+02	6.90908035e-06	1.01298247e-04	4.06993787e-04
4.48178051e+02	6.78365282e-06	1.00230550e-04	4.03395739e-04
4.49598426e+02	6.65782778e-06	9.91594697e-05	3.99786288e-04
4.51023302e+02	6.53160397e-06	9.80849947e-05	3.96165398e-04
4.52452694e+02	6.40498014e-06	9.70071146e-05	3.92533032e-04
4.53886616e+02	6.28851757e-06	9.59258184e-05	3.89056344e-04
4.55325083e+02	6.17213502e-06	9.48410953e-05	3.85575746e-04
4.56768108e+02	6.05538364e-06	9.37529345e-05	3.82084117e-04
4.58215707e+02	5.93826224e-06	9.26613251e-05	3.78581423e-04
4.59667893e+02	5.82221928e-06	9.15834917e-05	3.75091157e-04
4.61124682e+02	5.71472188e-06	9.06082187e-05	3.71734507e-04
4.62586088e+02	5.60688379e-06	8.96298548e-05	3.68367220e-04
4.64052125e+02	5.49870394e-06	8.86483902e-05	3.64989260e-04
4.65522808e+02	5.39018124e-06	8.76638152e-05	3.61600595e-04
4.66998152e+02	5.28442946e-06	8.66941322e-05	3.58278534e-04
4.68478172e+02	5.18494461e-06	8.57595540e-05	3.55109879e-04
4.69962883e+02	5.08514446e-06	8.48220139e-05	3.51931181e-04
4.71452299e+02	4.98502802e-06	8.38815025e-05	3.48742409e-04
4.72946435e+02	4.88459429e-06	8.29380105e-05	3.45543531e-04
4.74445306e+02	4.78841423e-06	8.20186403e-05	3.42334516e-04
4.75948928e+02	4.69647715e-06	8.11233251e-05	3.39115330e-04
4.77457315e+02	4.60424870e-06	8.02251724e-05	3.35885942e-04
4.78970482e+02	4.51172796e-06	7.93241733e-05	3.32646319e-04
4.80488445e+02	4.41891401e-06	7.84203188e-05	3.29396429e-04
4.82011218e+02	4.33417513e-06	7.75491308e-05	3.26298854e-04
4.83538818e+02	4.25306601e-06	7.66917319e-05	3.23267205e-04
4.85071259e+02	4.17169983e-06	7.58316158e-05	3.20225948e-04
4.86608557e+02	4.09007579e-06	7.49687738e-05	3.17175053e-04
4.88150726e+02	4.00819307e-06	7.41031972e-05	3.14114488e-04
4.89697783e+02	3.92605084e-06	7.32781369e-05	3.11173838e-04
4.91249743e+02	3.84364828e-06	7.24573180e-05	3.08244412e-04
4.92806622e+02	3.76098457e-06	7.16338978e-05	3.05305701e-04
4.94368435e+02	3.67805888e-06	7.08078680e-05	3.02357677e-04
4.95935197e+02	3.59538349e-06	6.99813549e-05	2.99406711e-04
4.97506925e+02	3.52356905e-06	6.91984951e-05	2.96585160e-04
4.99083634e+02	3.45152702e-06	6.84131541e-05	2.93754667e-04
5.00665340e+02	3.37925667e-06	6.76253243e-05	2.90915204e-04
5.02252058e+02	3.30675728e-06	6.68349977e-05	2.88066741e-04
5.03843806e+02	3.23558680e-06	6.60526658e-05	2.85255716e-04
5.05440598e+02	3.16956952e-06	6.53040867e-05	2.82596123e-04
5.07042450e+02	3.10334301e-06	6.45531352e-05	2.79928102e-04
5.08649379e+02	3.03690662e-06	6.37998038e-05	2.77251624e-04
5.10261401e+02	2.97025968e-06	6.30440849e-05	2.74566665e-04
5.11878532e+02	2.90600937e-06	6.23040976e-05	2.71873196e-04
5.13500787e+02	2.84538022e-06	6.15883503e-05	2.69171191e-04
5.15128184e+02	2.78455893e-06	6.08703347e-05	2.66460623e-04
5.16760739e+02	2.72354488e-06	6.01500435e-05	2.63741465e-04
5.18398468e+02	2.66233747e-06	5.94274696e-05	2.61013689e-04
5.20041386e+02	2.60445895e-06	5.87277518e-05	2.58397393e-04
5.21689512e+02	2.54888352e-06	5.80435651e-05	2.55857592e-04
5.23342861e+02	2.49313196e-06	5.73572101e-05	2.53309742e-04
5.25001450e+02	2.43720371e-06	5.66686798e-05	2.50753818e-04
5.26665295e+02	2.38109822e-06	5.59779674e-05	2.48189793e-04
5.28334413e+02	2.32911349e-06	5.53168182e-05	2.45717334e-04
5.30008821e+02	2.27826873e-06	5.46632109e-05	2.43267297e-04
5.31688536e+02	2.22726282e-06	5.40075323e-05	2.40809496e-04
5.33373574e+02	2.17609526e-06	5.33497756e-05	2.38343905e-04
5.35063952e+02	2.12476555e-06	5.26899344e-05	2.35870500e-04
5.36759687e+02	2.07819621e-06	5.20656770e-05	2.33507787e-04
5.38460797e+02	2.03174846e-06	5.14415012e-05	2.31144067e-04
5.40167298e+02	1.98515350e-06	5.08153472e-05	2.28772856e-04
5.41879207e+02	1.93841088e-06	5.01872088e-05	2.26394129e-04
5.43596541e+02	1.89214038e-06	4.95620033e-05	2.24023415e-04
5.45319318e+02	1.84991566e-06	4.89680958e-05	2.21750293e-04
5.47047555e+02	1.80755713e-06	4.83723060e-05	2.19469967e-04
5.48781269e+02	1.76506435e-06	4.77746281e-05	2.17182414e-04
5.50520478e+02	1.72243691e-06	4.71750560e-05	2.14887612e-04
5.52265199e+02	1.68104939e-06	4.65849609e-05	2.12621796e-04
5.54015449e+02	1.64259817e-06	4.60183762e-05	2.10429686e-04
5.55771246e+02	1.60402510e-06	4.54499960e-05	2.08230630e-04
5.57532607e+02	1.56532978e-06	4.48798144e-05	2.06024604e-04
5.59299550e+02	1.52651183e-06	4.43078258e-05	2.03811587e-04
5.61072094e+02	1.48958909e-06	4.37512642e-05	2.01647090e-04
5.62850255e+02	1.45464736e-06	4.32108602e-05	1.99533463e-04
5.64634051e+02	1.41959489e-06	4.26687436e-05	1.97413138e-04
5.66423501e+02	1.38443133e-06	4.21249088e-05	1.95286093e-04
5.68218621e+02	1.34915633e-06	4.15793505e-05	1.93152307e-04
5.70019431e+02	1.31632446e-06	4.10651355e-05	1.91120066e-04
5.71825948e+02	1.28464051e-06	4.05654971e-05	1.89134458e-04
5.73638191e+02	1.25285616e-06	4.00642752e-05	1.87142557e-04
5.75456176e+02	1.22097107e-06	3.95614648e-05	1.85144343e-04
5.77279924e+02	1.18898493e-06	3.90570610e-05	1.83139797e-04
5.79109451e+02	1.15988829e-06	3.85510585e-05	1.81128897e-04
5.80944776e+02	1.13121862e-06	3.80434524e-05	1.79111625e-04
5.82785918e+02	1.10245808e-06	3.75342376e-05	1.77087960e-04
5.84632895e+02	1.07360639e-06	3.70234090e-05	1.75057881e-04
5.86485725e+02	1.04477055e-06	3.65125465e-05	1.73026650e-04
5.88344428e+02	1.01897677e-06	3.60463595e-05	1.71143235e-04
5.90209021e+02	9.93101247e-07	3.55786949e-05	1.69253852e-04
5.92079523e+02	9.67143717e-07	3.51095483e-05	1.67358482e-04
5.93955953e+02	9.41103922e-07	3.46389148e-05	1.65457104e-04
5.95838330e+02	9.15617335e-07	3.41731178e-05	1.63571151e-04
5.97726673e+02	8.92389389e-07	3.37291310e-05	1.61758157e-04
5.99621000e+02	8.69087829e-07	3.32837372e-05	1.59939417e-04
6.01521331e+02	8.45712421e-07	3.28369318e-05	1.58114913e-04
6.03427685e+02	8.22262931e-07	3.23887104e-05	1.56284627e-04
6.05340080e+02	7.99814087e-07	3.19503665e-05	1.54486446e-04
6.07258536e+02	7.78944748e-07	3.15279820e-05	1.52740772e-04
